id,title,release_date,year,runtime,genres,rated,country,actors,director,writers,awards,box_office,ratings
tt0078243,The 36th Chamber of Shaolin,02 Feb 1978,1978,116,"Action,Adventure,Drama",R,Hong Kong,"Chia-Hui Liu, Lieh Lo, Chia Yung Liu, Norman Chu",Chia-Liang Liu,Kuang Ni,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]"
tt0078244,Shaolin Deadly Hands,N/A,1978,63,"Action,Drama",N/A,"Hong Kong, Taiwan","Raymond Lui, Kuan-Chun Chi, Chiang-Lung Wen, Chiu Chen",Raymond Lui,"Raymond Lui (screenplay), Kuang Ni (screenplay)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]"
tt0078245,Shaolin Kung Fu Master,17 Oct 1980,1978,87,"Action,Drama",Not Rated,Taiwan,"Kuan-Chun Chi, Kuan-Hsiung Wang, Don Wong, Yi Chang",Jimmy Shaw,N/A,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]"
tt0078249,The Brave Archer,01 Jun 1983,1977,127,"Action,Drama,Fantasy",PG-13,Hong Kong,"Sheng Fu, Tien Niu, Danny Lee, Yi-Min Li",Cheh Chang,"Louis Cha (story), Kuang Ni (screenplay)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]"
tt0078250,The Brave Archer Part II,01 Oct 1983,1978,110,"Action,Drama",PG-13,Hong Kong,"Sheng Fu, Niu Niu, Danny Lee, Yi-Min Li",Cheh Chang,"Louis Cha (story), Kuang Ni (screenplay)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]"
tt0078251,She he ba bu,08 Mar 1978,1978,96,"Action,Drama",N/A,"Hong Kong, Taiwan","Jackie Chan, Nora Miao, Jeong-Nam Kim, Yung-Kuo Li",Chi-Hwa Chen,Hsin Yi Chang (screenplay),N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]"
tt0078252,Snake in the Eagle's Shadow,01 Nov 1982,1978,97,"Action,Comedy",PG,Hong Kong,"Jackie Chan, Siu Tin Yuen, Jung-Lee Hwang, Dean Shek",Woo-Ping Yuen,"Chi Yuan Hsi, Huo An Hsi, Lung Hsiao, See-Yuen Ng (screenplay), Chi-Kuang Tsai (screenplay)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]"
tt0078253,Shaolin Handlock,N/A,1978,88,Action,R,Hong Kong,"David Chiang, Ping Chen, Michael Wai-Man Chan, Lieh Lo",Meng Hua Ho,Kuang Ni,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]"
tt0078260,Showdown at the Cotton Mill,N/A,1978,84,"Action,Drama",N/A,"Taiwan, Hong Kong","Kuan-Chun Chi, Tao-Liang Tan, Hsiao Wen Tang, Chi Ping Chang",Wu Ma,Kuang Ni,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]"
tt0078262,Sleeping Fist,24 May 1979,1979,88,Action,N/A,"Hong Kong, Taiwan","Ka-Yan Leung, Siu Tin Yuen, Ling-Lung Ouyang, Yi Lung Huang",Wing-Cho Yip,Hsin Yi Chang (screenplay),N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]"
tt0078323,Stingray,29 Jan 1979,1978,100,"Action,Comedy,Crime",PG,USA,"Christopher Mitchum, Les Lannom, William Watson, Cliff Emmich",Richard Taylor,Richard Taylor,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]"
tt0078332,Naeileum ssangdali,14 Feb 1982,1978,81,Action,N/A,South Korea,"Casanova Wong, Yong-cheol Han, Chun-su Hwang, Lisa Lee",Woo-sang Park,Raymond To,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]"
tt0078335,Stunt Rock,12 Dec 1979,1978,86,"Action,Drama,Music",PG,"Australia, Netherlands","Grant Page, Monique van de Ven, Margaret Gerard, Paul Haynes",Brian Trenchard-Smith,"Paul-Michel Mielche Jr. (screenplay), Brian Trenchard-Smith (screenplay)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]"
tt0078336,Stunt Squad,28 Jul 1977,1977,92,"Action,Crime,Thriller",N/A,Italy,"Marcel Bozzuffi, Vittorio Mezzogiorno, Riccardo Salvino, Claudia Giannotti",Domenico Paolella,"Domenico Paolella, Dardano Sacchetti (story), Dardano Sacchetti",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]"
tt0078346,Superman,15 Dec 1978,1978,143,"Action,Adventure,Drama",PG,"USA, UK, Canada, Switzerland","Marlon Brando, Gene Hackman, Christopher Reeve, Ned Beatty",Richard Donner,"Jerry Siegel (character created by: Superman), Joe Shuster (character created by: Superman), Mario Puzo (story), Mario Puzo (screenplay), David Newman (screenplay), Leslie Newman (screenplay), Robert Benton (screenplay)",Nominated for 3 Oscars. Another 17 wins & 19 nominations.,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '80/100'}]"
tt0078351,Sweeney 2,01 Apr 1978,1978,104,"Action,Crime,Drama",N/A,UK,"John Thaw, Dennis Waterman, Denholm Elliott, Ken Hutchison",Tom Clegg,"Troy Kennedy-Martin, Ian Kennedy Martin (TV series The Sweeney)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]"
tt0078352,Swordsman and Enchantress,11 Aug 1978,1978,89,"Action,Mystery",N/A,Hong Kong,"Lung Ti, Li Ching, Tony Liu, Lily Li",Yuen Chor,"Yuen Chor, Lung Ku (novel)",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]"
