,id,title,release_date,year,runtime,genres,rated,countries,actors,directors,writers,awards,box_office,ratings
1767,tt0224743,La chamuscada (Tierra y libertad),14 Jan 1971,1971,90,"['Action', 'Drama', 'War']",,['Mexico'],"['Luis Aguilar', ' Rodolfo de Anda', ' Emilio Fernández', ' Irma Serrano']",['Alberto Mariscal'],"['Luis Alcoriza (story and adaptation)', ' Juan de la Cabada (story and adaptation)']",,,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]"
1768,tt0225376,Les Charlots en délire,24 Oct 1979,1979,90,"['Action', 'Comedy']",,['France'],"['Gérard Rinaldi', ' Gérard Filipelli', ' Jean Sarrus', ' Charles Gérard']",['Alain Basnier'],"['Alain Basnier', ' Pierre Uytterhoeven (dialogue)']",,,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]"
1769,tt0225843,Gendai yakuza: Chizakura san kyodai,,1971,92,"['Action', 'Crime', 'Drama']",,['Japan'],"['Bunta Sugawara', ' Gorô Ibuki', ' Tsunehiko Watase', ' Ichirô Araki']",['Sadao Nakajima'],['Tatsuo Nogami'],,,[]
1770,tt0225877,Gokudo VS Mamushi,,1974,86,"['Action', 'Crime']",,['Japan'],"['Tomisaburô Wakayama', ' Bunta Sugawara', ' Tamio Kawaji', ' Junko Hitomi']",['Sadao Nakajima'],"['Isao Matsumoto', ' Sadao Nakajima', ' Hideaki Yamamoto']",,,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]"
1771,tt0226018,Final Episode,29 Jun 1974,1974,100,"['Action', 'Crime', 'Drama']",Not Rated,['Japan'],"['Seizô Fukumoto', ' Nobuo Kaneko', ' Jô Shishido', ' Bunta Sugawara']",['Kinji Fukasaku'],"['Koichi Iiboshi (story)', ' Kôji Takada']",,,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]"
1772,tt0226045,Kunoichi ninpo: Kannon biraki,14 Feb 1976,1976,66,"['Action', 'Comedy', 'Crime']",,['Japan'],"['Megumi Hori', ' Keiko Kinugasa', ' Maki Tachibana']",['Takayuki Minagawa'],['nan'],,,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]"
1773,tt0226279,Pancho Tequila,19 Mar 1970,1970,95,"['Action', 'Comedy', 'Western']",,['Mexico'],"['Alberto Vázquez', ' María Duval', ' Carlos Cardán', ' Mónica Serna']",['Miguel M. Delgado'],"['Luis Alcoriza', ' Fernando Galiana']",,,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]"
1774,tt0226894,Karate Sabuk Hitam,21 Nov 1979,1979,91,"['Action', 'Drama']",Not Rated,['Indonesia'],"['Chin-Kun Li', ' Siu-Lung Leung', ' Lieh Lo', ' Billy Chong']",['Wisjnu Mouradhy'],['Djohan B.A.'],,,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]"
1775,tt0226898,Kera Sakti,,1978,95,"['Action', 'Adventure']",,"['Indonesia', ' Hong Kong']","['Kuan Tai Chen', ' Billy Chong', ' Jenny Ho', ' Edy S. Jonathan']","['Kuan Tai Chen', ' S.A. Karim']",['Kuan Tai Chen (screenplay)'],,,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]"
1776,tt0227075,Monzetsu!! Dondengaeshi,01 Feb 1977,1977,73,"['Action', 'Crime']",,['Japan'],"['Osamu Tsuruoka', ' Seiji Endô', ' Gô Awazu', ' Naomi Tani']",['Tatsumi Kumashiro'],['Rokuro Kumagai'],,,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]"
